N,scaled_error,target
100,-3.0621804060577003281647223060033902,-3.0623483141036859432569200066272983
200,-3.0623063363441492565396767481852012,-3.0623483141036859432569200066272983
400,-3.0623378196170486523379408172359651,-3.0623483141036859432569200066272983
800,-3.0623456904791045411753057789412454,-3.0623483141036859432569200066272983
1600,-3.0623476581973579626301588147782803,-3.0623483141036859432569200066272983
